The Video Write-up Challenge,,Extra Points,,WRITE-UPS EXIST,,,,,,,,,,,,"LIVE CTFs (No Write-Ups Exist, Live and Limited Time)",,,,,,You can go your own way,,,,,,,,,,,,,,,,,,,,,,,
TOTAL (out of 50),Categories \ Points,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,7,8,9,10,10,,,,,,,,,,,,,,,,,,,,,,,
64,https://owasp.org/www-project-top-ten/,Used ZAP/Burp?,ProfNinja Jams,DVWA,Gruyere,CTFLearn.com,Websec.fr,PicoGYM,Webhacking.kr,247ctf,Ringzer0,TryHackMe,HackTheBox,Juice Shop,Portswigger,Imaginary CTF,200+ solves,150-200 solves,100-150 solves,50-100 solves,0-50 solves,Create A Problem For A CTF,Zap Bonus,,,,,,,,,,,,,,,,,,,,,Total,MAX
10,BROKEN ACCESS CONTROL,yes,,https://drive.google.com/file/d/1OfTuU7l3qDuiYfasWEtMQv2RAm1vpOQg/view?usp=sharing,,https://drive.google.com/file/d/10qwbFBzPzuTBN9nTCd2aPcSW7VOMWc6z/view?usp=sharing,,https://drive.google.com/file/d/19FlqBDU1691-wgkIvjiOGUxRmlM_ZwQv/view?usp=sharing,,,,,,https://drive.google.com/file/d/1NKj8VW1N5XMDaqkEKYOuj_XGGEKq8L1s/view?usp=sharing,https://drive.google.com/file/d/1iedxBo5FctUR6g2IN2o-ym6OP4WN8g3Q/view?usp=sharing,,,,,,,,1,0,2,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,10
8,CRYPTOGRAPHIC FAILURES,,,https://drive.google.com/file/d/1HHABdstbVGEZ3ofGJhQNcgLKv2epxxZb/view?usp=sharing,,https://drive.google.com/file/d/17xARrwBAGBcDc0CXLeYzHiDTO1D1Fbxw/view?usp=sharing,,https://drive.google.com/file/d/1UrtvdHIyAl97gsPcJgOdZAXMf4qq57TF/view?usp=sharing,,,,,,https://drive.google.com/file/d/1u0qRRKzSnqTU3Q8ltZjZDmg4ORJlin9H/view?usp=sharing  and https://drive.google.com/file/d/1pM_dO5Hld9OL9hRWAOaKQ50SmKkXRg23/view?usp=sharing,,,,,,,,,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,10
9,INJECTION,yes,,https://drive.google.com/file/d/1_Km1MwyMy_LfhAjQXU4B1xwHf577Fq9-/view?usp=sharing,,https://drive.google.com/file/d/1SG3x4FIHElHCUQg7Ys3YJyK8kqyOzuyZ/view?usp=sharing,,,,,,,,https://drive.google.com/file/d/1xR3bYjLR0Uhm5JbsX6vabvAt-VzF-lMx/view?usp=sharing,,,,,,,,,1,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,10
5,INSECURE DESIGN,yes,,https://drive.google.com/file/d/12z_MBDWWwNFaCxkpPk4Qi8u_2lRVHKvg/view?usp=sharing,,,,,,,,,,https://drive.google.com/file/d/1eLVvHEpoAWoTAh9AS9Sk6fYOmLFI6x6-/view?usp=sharing,,,,,,,,,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,10
10,SECURITY MISCONFIGURATION,yes,,https://drive.google.com/file/d/1t-tIaqpBOzaIz7KZvFzeYptawRbF5ZU9/view?usp=sharing,,https://drive.google.com/file/d/1dcnHMQv_LyHdOK1AgI1gPUjOeAFuPKmC/view?usp=sharing,,https://drive.google.com/file/d/1U-RlVo1KNwqwjkVN3OIF3UjAQtEEOeKy/view?usp=sharing,,,,,,https://drive.google.com/file/d/1U4LF3htMM6DH4i7yQDwlnT5cKAjs3jys/view?usp=sharing,https://drive.google.com/file/d/1iedxBo5FctUR6g2IN2o-ym6OP4WN8g3Q/view?usp=sharing,,,,,,,,1,0,2,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,10
3,VUNLERABLE AND OUTDATED COMPONENTS,yes,,,,,,https://drive.google.com/file/d/1kmKPO-CmwOe3ICiiTbplD4dZumEYLdA5/view?usp=sharing,,,,,,,,,,,,,,,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
5,IDENTIFICATION AND AUTHENTICATION FAILURES,yes,,,,,,,,,,,,https://drive.google.com/file/d/1gJohc2DHWvjwJ_NMiFlCRoeo0zCGWQK0/view?usp=sharing,https://drive.google.com/file/d/1VaeNtRvQg_2W7AVlRypc-flPjhlieS0z/view?usp=sharing,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,10
2,SOFTWARE AND DATA INTEGRITY FAILURES,,,,,,,https://drive.google.com/file/d/1xwGpG4DwReDbpLu2btPHn9hfQ1K5CCZi/view?usp=sharing,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
2,SECURITY LOGGING AND MONITORING FAILURES,,,,,,,,,,,,,https://drive.google.com/file/d/1OcGD1ftEI37z3QAZCyJtirI851QiRDdd/view?usp=sharing,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,10
3,SERVER-SIDE REQUEST FORGERY,yes,,,,,,,,,,,,,https://drive.google.com/file/d/1imbykVJra2iDyCoFObjjfI-Ri2W_86Gm/view?usp=sharing,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,10
7,OTHER COMMON CTF EXPLOITS,yes,,https://drive.google.com/file/d/1G-jy265DplQTo7KTdf5xg-ZymFapL7Ch/view?usp=sharing,,https://drive.google.com/file/d/1FtWRriDofb9mJI5Dt9N9RyczfSN9KpAx/view?usp=sharing,,,,,,,,https://drive.google.com/file/d/1X0R6UpNBOs6UKuuldW08y6t4mCEVzisa/view?usp=sharing,,,,,,,,,1,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,10
,,Yes or Blank,,In the above cells put a link to your video write-up.  Talk through how you solved the problem and what the vulnerability was.  For live CTFs show the number of solves when you solved it.  If you host your own provide URL too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,